id,fileName,sampleSize,eliteSize,smoothParameter,iterationNumber,consumesTimes,optimalValue
1,appendicitis.dat,106,10,0.1,1,0.01,0.218116
2,appendicitis.dat,106,10,0.1,10,0.033,0.301255
3,appendicitis.dat,106,10,0.1,100,0.268,0.776152
4,appendicitis.dat,106,10,0.1,500,1.198,0.926747
5,appendicitis.dat,106,10,0.1,1000,2.419,0.98899
6,appendicitis.dat,106,10,0.2,1,0,0.218116
7,appendicitis.dat,106,10,0.2,10,0.036,0.356514
8,appendicitis.dat,106,10,0.2,100,0.254,0.860416
9,appendicitis.dat,106,10,0.2,500,1.312,0.908301
10,appendicitis.dat,106,10,0.2,1000,2.231,0.973355
11,appendicitis.dat,106,10,0.30000000000000004,1,0,0.218116
12,appendicitis.dat,106,10,0.30000000000000004,10,0.032,0.419561
13,appendicitis.dat,106,10,0.30000000000000004,100,0.268,0.836245
14,appendicitis.dat,106,10,0.30000000000000004,500,0.879,0.881885
15,appendicitis.dat,106,10,0.30000000000000004,1000,2.104,0.973355
16,appendicitis.dat,106,10,0.4,1,0,0.218116
17,appendicitis.dat,106,10,0.4,10,0.017,0.492425
18,appendicitis.dat,106,10,0.4,100,0.195,0.744823
19,appendicitis.dat,106,10,0.4,500,1.323,0.833379
20,appendicitis.dat,106,10,0.4,1000,2.445,0.922555
21,appendicitis.dat,106,10,0.5,1,0,0.218116
22,appendicitis.dat,106,10,0.5,10,0.026,0.570504
23,appendicitis.dat,106,10,0.5,100,0.205,0.76518
24,appendicitis.dat,106,10,0.5,500,1.042,0.812736
25,appendicitis.dat,106,10,0.5,1000,2.252,0.865316
26,appendicitis.dat,106,10,0.6000000000000001,1,0,0.218116
27,appendicitis.dat,106,10,0.6000000000000001,10,0.019,0.586954
28,appendicitis.dat,106,10,0.6000000000000001,100,0.29,0.710742
29,appendicitis.dat,106,10,0.6000000000000001,500,1.236,0.826127
30,appendicitis.dat,106,10,0.6000000000000001,1000,2.676,0.922555
31,appendicitis.dat,106,10,0.7000000000000001,1,0.003,0.218116
32,appendicitis.dat,106,10,0.7000000000000001,10,0.019,0.57097
33,appendicitis.dat,106,10,0.7000000000000001,100,0.308,0.702251
34,appendicitis.dat,106,10,0.7000000000000001,500,1.222,0.801346
35,appendicitis.dat,106,10,0.7000000000000001,1000,2.42,0.922555
36,appendicitis.dat,106,10,0.8,1,0.004,0.218116
37,appendicitis.dat,106,10,0.8,10,0.019,0.556353
38,appendicitis.dat,106,10,0.8,100,0.198,0.706926
39,appendicitis.dat,106,10,0.8,500,1.227,0.836495
40,appendicitis.dat,106,10,0.8,1000,2.068,0.973355
41,appendicitis.dat,106,10,0.9,1,0.008,0.218116
42,appendicitis.dat,106,10,0.9,10,0.035,0.591119
43,appendicitis.dat,106,10,0.9,100,0.308,0.703493
44,appendicitis.dat,106,10,0.9,500,1.314,0.820263
45,appendicitis.dat,106,10,0.9,1000,2.083,0.922555
46,appendicitis.dat,106,21,0.1,1,0,0.218116
47,appendicitis.dat,106,21,0.1,10,0.035,0.262241
48,appendicitis.dat,106,21,0.1,100,0.232,0.645862
49,appendicitis.dat,106,21,0.1,500,1.666,0.894555
50,appendicitis.dat,106,21,0.1,1000,2.557,0.973355
51,appendicitis.dat,106,21,0.2,1,0,0.218116
52,appendicitis.dat,106,21,0.2,10,0.051,0.326527
53,appendicitis.dat,106,21,0.2,100,0.431,0.870363
54,appendicitis.dat,106,21,0.2,500,1.393,0.908301
55,appendicitis.dat,106,21,0.2,1000,2.929,0.973355
56,appendicitis.dat,106,21,0.30000000000000004,1,0,0.218116
57,appendicitis.dat,106,21,0.30000000000000004,10,0.016,0.366322
58,appendicitis.dat,106,21,0.30000000000000004,100,0.408,0.791162
59,appendicitis.dat,106,21,0.30000000000000004,500,1.972,0.850757
60,appendicitis.dat,106,21,0.30000000000000004,1000,2.957,0.973355
61,appendicitis.dat,106,21,0.4,1,0.005,0.218116
62,appendicitis.dat,106,21,0.4,10,0.034,0.360364
63,appendicitis.dat,106,21,0.4,100,0.26,0.808468
64,appendicitis.dat,106,21,0.4,500,1.746,0.857117
65,appendicitis.dat,106,21,0.4,1000,2.777,0.973355
66,appendicitis.dat,106,21,0.5,1,0.003,0.218116
67,appendicitis.dat,106,21,0.5,10,0.019,0.455083
68,appendicitis.dat,106,21,0.5,100,0.317,0.786544
69,appendicitis.dat,106,21,0.5,500,1.325,0.850757
70,appendicitis.dat,106,21,0.5,1000,2.728,0.973355
71,appendicitis.dat,106,21,0.6000000000000001,1,0,0.218116
72,appendicitis.dat,106,21,0.6000000000000001,10,0.038,0.465635
73,appendicitis.dat,106,21,0.6000000000000001,100,0.316,0.736513
74,appendicitis.dat,106,21,0.6000000000000001,500,1.095,0.801346
75,appendicitis.dat,106,21,0.6000000000000001,1000,3.046,0.922555
76,appendicitis.dat,106,21,0.7000000000000001,1,0,0.218116
77,appendicitis.dat,106,21,0.7000000000000001,10,0.057,0.523427
78,appendicitis.dat,106,21,0.7000000000000001,100,0.329,0.768558
79,appendicitis.dat,106,21,0.7000000000000001,500,1.469,0.831415
80,appendicitis.dat,106,21,0.7000000000000001,1000,2.73,0.973355
81,appendicitis.dat,106,21,0.8,1,0,0.218116
82,appendicitis.dat,106,21,0.8,10,0.034,0.558593
83,appendicitis.dat,106,21,0.8,100,0.245,0.779308
84,appendicitis.dat,106,21,0.8,500,1.666,0.826127
85,appendicitis.dat,106,21,0.8,1000,3.289,0.922555
86,appendicitis.dat,106,21,0.9,1,0,0.218116
87,appendicitis.dat,106,21,0.9,10,0.034,0.57688
88,appendicitis.dat,106,21,0.9,100,0.325,0.73496
89,appendicitis.dat,106,21,0.9,500,1.421,0.831415
90,appendicitis.dat,106,21,0.9,1000,3.202,0.973355
91,appendicitis.dat,106,31,0.1,1,0,0.218116
92,appendicitis.dat,106,31,0.1,10,0.029,0.262241
93,appendicitis.dat,106,31,0.1,100,0.397,0.608151
94,appendicitis.dat,106,31,0.1,500,1.564,0.905948
95,appendicitis.dat,106,31,0.1,1000,3.236,0.967873
96,appendicitis.dat,106,31,0.2,1,0.008,0.218116
97,appendicitis.dat,106,31,0.2,10,0.031,0.260803
98,appendicitis.dat,106,31,0.2,100,0.325,0.750138
99,appendicitis.dat,106,31,0.2,500,2.012,0.852586
100,appendicitis.dat,106,31,0.2,1000,3.202,0.973355
101,appendicitis.dat,106,31,0.30000000000000004,1,0,0.218116
102,appendicitis.dat,106,31,0.30000000000000004,10,0.041,0.291956
103,appendicitis.dat,106,31,0.30000000000000004,100,0.395,0.816269
104,appendicitis.dat,106,31,0.30000000000000004,500,1.535,0.850757
105,appendicitis.dat,106,31,0.30000000000000004,1000,3.766,0.973355
106,appendicitis.dat,106,31,0.4,1,0.016,0.218116
107,appendicitis.dat,106,31,0.4,10,0.047,0.334919
108,appendicitis.dat,106,31,0.4,100,0.383,0.819461
109,appendicitis.dat,106,31,0.4,500,1.782,0.881885
110,appendicitis.dat,106,31,0.4,1000,3.271,0.973355
111,appendicitis.dat,106,31,0.5,1,0,0.218116
112,appendicitis.dat,106,31,0.5,10,0.037,0.321628
113,appendicitis.dat,106,31,0.5,100,0.335,0.802512
114,appendicitis.dat,106,31,0.5,500,1.811,0.880683
115,appendicitis.dat,106,31,0.5,1000,3.819,0.973355
116,appendicitis.dat,106,31,0.6000000000000001,1,0,0.218116
117,appendicitis.dat,106,31,0.6000000000000001,10,0.037,0.363876
118,appendicitis.dat,106,31,0.6000000000000001,100,0.493,0.771416
119,appendicitis.dat,106,31,0.6000000000000001,500,2.041,0.823465
120,appendicitis.dat,106,31,0.6000000000000001,1000,3.29,0.973355
121,appendicitis.dat,106,31,0.7000000000000001,1,0,0.218116
122,appendicitis.dat,106,31,0.7000000000000001,10,0.042,0.301583
123,appendicitis.dat,106,31,0.7000000000000001,100,0.317,0.773456
124,appendicitis.dat,106,31,0.7000000000000001,500,1.342,0.880683
125,appendicitis.dat,106,31,0.7000000000000001,1000,3.006,0.973355
126,appendicitis.dat,106,31,0.8,1,0,0.218116
127,appendicitis.dat,106,31,0.8,10,0.033,0.486022
128,appendicitis.dat,106,31,0.8,100,0.27,0.80315
129,appendicitis.dat,106,31,0.8,500,1.723,0.838669
130,appendicitis.dat,106,31,0.8,1000,3.551,0.973355
131,appendicitis.dat,106,31,0.9,1,0,0.218116
132,appendicitis.dat,106,31,0.9,10,0.033,0.546197
133,appendicitis.dat,106,31,0.9,100,0.304,0.782561
134,appendicitis.dat,106,31,0.9,500,1.758,0.857117
135,appendicitis.dat,106,31,0.9,1000,3.601,0.973355
136,appendicitis.dat,106,42,0.1,1,0,0.218116
137,appendicitis.dat,106,42,0.1,10,0.05,0.279521
138,appendicitis.dat,106,42,0.1,100,0.562,0.530578
139,appendicitis.dat,106,42,0.1,500,2.08,0.890226
140,appendicitis.dat,106,42,0.1,1000,4.666,0.973355
141,appendicitis.dat,106,42,0.2,1,0,0.218116
142,appendicitis.dat,106,42,0.2,10,0.049,0.260803
143,appendicitis.dat,106,42,0.2,100,0.434,0.77414
144,appendicitis.dat,106,42,0.2,500,2.215,0.8704
145,appendicitis.dat,106,42,0.2,1000,4.658,0.888784
146,appendicitis.dat,106,42,0.30000000000000004,1,0.01,0.218116
147,appendicitis.dat,106,42,0.30000000000000004,10,0.033,0.287864
148,appendicitis.dat,106,42,0.30000000000000004,100,0.395,0.860416
149,appendicitis.dat,106,42,0.30000000000000004,500,2.141,0.893482
150,appendicitis.dat,106,42,0.30000000000000004,1000,3.625,0.933404
151,appendicitis.dat,106,42,0.4,1,0.005,0.218116
152,appendicitis.dat,106,42,0.4,10,0.049,0.29384
153,appendicitis.dat,106,42,0.4,100,0.352,0.797218
154,appendicitis.dat,106,42,0.4,500,1.584,0.843834
155,appendicitis.dat,106,42,0.4,1000,4.17,0.843834
156,appendicitis.dat,106,42,0.5,1,0,0.218116
157,appendicitis.dat,106,42,0.5,10,0.049,0.268997
158,appendicitis.dat,106,42,0.5,100,0.457,0.785344
159,appendicitis.dat,106,42,0.5,500,1.977,0.826043
160,appendicitis.dat,106,42,0.5,1000,4.131,0.868676
161,appendicitis.dat,106,42,0.6000000000000001,1,0,0.218116
162,appendicitis.dat,106,42,0.6000000000000001,10,0.067,0.293661
163,appendicitis.dat,106,42,0.6000000000000001,100,0.556,0.787683
164,appendicitis.dat,106,42,0.6000000000000001,500,1.942,0.802527
165,appendicitis.dat,106,42,0.6000000000000001,1000,3.999,0.881269
166,appendicitis.dat,106,42,0.7000000000000001,1,0,0.218116
167,appendicitis.dat,106,42,0.7000000000000001,10,0.049,0.326441
168,appendicitis.dat,106,42,0.7000000000000001,100,0.33,0.764452
169,appendicitis.dat,106,42,0.7000000000000001,500,1.827,0.83213
170,appendicitis.dat,106,42,0.7000000000000001,1000,4.337,0.834423
171,appendicitis.dat,106,42,0.8,1,0,0.218116
172,appendicitis.dat,106,42,0.8,10,0.054,0.376103
173,appendicitis.dat,106,42,0.8,100,0.529,0.745887
174,appendicitis.dat,106,42,0.8,500,2.071,0.777377
175,appendicitis.dat,106,42,0.8,1000,3.987,0.798011
176,appendicitis.dat,106,42,0.9,1,0.01,0.218116
177,appendicitis.dat,106,42,0.9,10,0.036,0.341242
178,appendicitis.dat,106,42,0.9,100,0.443,0.698665
179,appendicitis.dat,106,42,0.9,500,2.049,0.812403
180,appendicitis.dat,106,42,0.9,1000,2.595,0.922555
181,appendicitis.dat,106,53,0.1,1,0,0.218116
182,appendicitis.dat,106,53,0.1,10,0.031,0.279521
183,appendicitis.dat,106,53,0.1,100,0.321,0.504032
184,appendicitis.dat,106,53,0.1,500,1.571,0.849768
185,appendicitis.dat,106,53,0.1,1000,3.073,0.967873
186,appendicitis.dat,106,53,0.2,1,0,0.218116
187,appendicitis.dat,106,53,0.2,10,0.036,0.279521
188,appendicitis.dat,106,53,0.2,100,0.32,0.63184
189,appendicitis.dat,106,53,0.2,500,1.988,0.790169
190,appendicitis.dat,106,53,0.2,1000,4.068,0.80481
191,appendicitis.dat,106,53,0.30000000000000004,1,0.015,0.218116
192,appendicitis.dat,106,53,0.30000000000000004,10,0.046,0.285248
193,appendicitis.dat,106,53,0.30000000000000004,100,0.334,0.726907
194,appendicitis.dat,106,53,0.30000000000000004,500,1.519,0.807975
195,appendicitis.dat,106,53,0.30000000000000004,1000,3.025,0.857515
196,appendicitis.dat,106,53,0.4,1,0,0.218116
197,appendicitis.dat,106,53,0.4,10,0.036,0.289337
198,appendicitis.dat,106,53,0.4,100,0.301,0.748297
199,appendicitis.dat,106,53,0.4,500,1.521,0.831415
200,appendicitis.dat,106,53,0.4,1000,3.002,0.973355
201,appendicitis.dat,106,53,0.5,1,0,0.218116
202,appendicitis.dat,106,53,0.5,10,0.031,0.315208
203,appendicitis.dat,106,53,0.5,100,0.306,0.768226
204,appendicitis.dat,106,53,0.5,500,1.501,0.852586
205,appendicitis.dat,106,53,0.5,1000,3.012,0.973355
206,appendicitis.dat,106,53,0.6000000000000001,1,0,0.218116
207,appendicitis.dat,106,53,0.6000000000000001,10,0.022,0.353059
208,appendicitis.dat,106,53,0.6000000000000001,100,0.316,0.743767
209,appendicitis.dat,106,53,0.6000000000000001,500,1.501,0.821432
210,appendicitis.dat,106,53,0.6000000000000001,1000,3.002,0.918455
211,appendicitis.dat,106,53,0.7000000000000001,1,0,0.218116
212,appendicitis.dat,106,53,0.7000000000000001,10,0.031,0.344698
213,appendicitis.dat,106,53,0.7000000000000001,100,0.3,0.773491
214,appendicitis.dat,106,53,0.7000000000000001,500,1.493,0.840365
215,appendicitis.dat,106,53,0.7000000000000001,1000,3.12,0.973355
216,appendicitis.dat,106,53,0.8,1,0.015,0.218116
217,appendicitis.dat,106,53,0.8,10,0.032,0.348085
218,appendicitis.dat,106,53,0.8,100,0.571,0.725972
219,appendicitis.dat,106,53,0.8,500,1.702,0.840365
220,appendicitis.dat,106,53,0.8,1000,3.011,0.946905
221,appendicitis.dat,106,53,0.9,1,0,0.218116
222,appendicitis.dat,106,53,0.9,10,0.032,0.374139
223,appendicitis.dat,106,53,0.9,100,0.3,0.740225
224,appendicitis.dat,106,53,0.9,500,1.504,0.840365
225,appendicitis.dat,106,53,0.9,1000,2.999,0.94902
226,appendicitis.dat,106,63,0.1,1,0,0.218116
227,appendicitis.dat,106,63,0.1,10,0.051,0.279521
228,appendicitis.dat,106,63,0.1,100,0.4,0.444217
229,appendicitis.dat,106,63,0.1,500,1.859,0.828317
230,appendicitis.dat,106,63,0.1,1000,3.596,0.879145
231,appendicitis.dat,106,63,0.2,1,0,0.218116
232,appendicitis.dat,106,63,0.2,10,0.053,0.277043
233,appendicitis.dat,106,63,0.2,100,0.448,0.477037
234,appendicitis.dat,106,63,0.2,500,1.967,0.784278
235,appendicitis.dat,106,63,0.2,1000,3.805,0.837871
236,appendicitis.dat,106,63,0.30000000000000004,1,0,0.218116
237,appendicitis.dat,106,63,0.30000000000000004,10,0.047,0.28175
238,appendicitis.dat,106,63,0.30000000000000004,100,0.432,0.744655
239,appendicitis.dat,106,63,0.30000000000000004,500,1.821,0.861253
240,appendicitis.dat,106,63,0.30000000000000004,1000,3.635,0.888784
241,appendicitis.dat,106,63,0.4,1,0,0.218116
242,appendicitis.dat,106,63,0.4,10,0.053,0.322378
243,appendicitis.dat,106,63,0.4,100,0.416,0.725246
244,appendicitis.dat,106,63,0.4,500,1.803,0.80821
245,appendicitis.dat,106,63,0.4,1000,3.503,0.851929
246,appendicitis.dat,106,63,0.5,1,0,0.218116
247,appendicitis.dat,106,63,0.5,10,0.05,0.317814
248,appendicitis.dat,106,63,0.5,100,0.431,0.652344
249,appendicitis.dat,106,63,0.5,500,1.849,0.704985
250,appendicitis.dat,106,63,0.5,1000,3.558,0.747506
251,appendicitis.dat,106,63,0.6000000000000001,1,0,0.218116
252,appendicitis.dat,106,63,0.6000000000000001,10,0.054,0.300011
253,appendicitis.dat,106,63,0.6000000000000001,100,0.415,0.762235
254,appendicitis.dat,106,63,0.6000000000000001,500,1.788,0.790625
255,appendicitis.dat,106,63,0.6000000000000001,1000,3.521,0.845378
256,appendicitis.dat,106,63,0.7000000000000001,1,0,0.218116
257,appendicitis.dat,106,63,0.7000000000000001,10,0.031,0.291696
258,appendicitis.dat,106,63,0.7000000000000001,100,0.401,0.771506
259,appendicitis.dat,106,63,0.7000000000000001,500,1.754,0.797027
260,appendicitis.dat,106,63,0.7000000000000001,1000,3.49,0.806973
261,appendicitis.dat,106,63,0.8,1,0,0.218116
262,appendicitis.dat,106,63,0.8,10,0.053,0.293078
263,appendicitis.dat,106,63,0.8,100,0.427,0.786595
264,appendicitis.dat,106,63,0.8,500,1.856,0.824545
265,appendicitis.dat,106,63,0.8,1000,3.722,0.824545
266,appendicitis.dat,106,63,0.9,1,0,0.218116
267,appendicitis.dat,106,63,0.9,10,0.046,0.278397
268,appendicitis.dat,106,63,0.9,100,0.403,0.777072
269,appendicitis.dat,106,63,0.9,500,1.806,0.788675
270,appendicitis.dat,106,63,0.9,1000,3.534,0.788675
271,appendicitis.dat,106,74,0.1,1,0,0.218116
272,appendicitis.dat,106,74,0.1,10,0.038,0.260803
273,appendicitis.dat,106,74,0.1,100,0.417,0.339715
274,appendicitis.dat,106,74,0.1,500,2.034,0.769126
275,appendicitis.dat,106,74,0.1,1000,4.02,0.849768
276,appendicitis.dat,106,74,0.2,1,0,0.218116
277,appendicitis.dat,106,74,0.2,10,0.047,0.260803
278,appendicitis.dat,106,74,0.2,100,0.4,0.539399
279,appendicitis.dat,106,74,0.2,500,2.072,0.790371
280,appendicitis.dat,106,74,0.2,1000,4.107,0.821197
281,appendicitis.dat,106,74,0.30000000000000004,1,0,0.218116
282,appendicitis.dat,106,74,0.30000000000000004,10,0.038,0.260803
283,appendicitis.dat,106,74,0.30000000000000004,100,0.416,0.642052
284,appendicitis.dat,106,74,0.30000000000000004,500,2.02,0.749407
285,appendicitis.dat,106,74,0.30000000000000004,1000,3.991,0.776096
286,appendicitis.dat,106,74,0.4,1,0,0.218116
287,appendicitis.dat,106,74,0.4,10,0.038,0.298232
288,appendicitis.dat,106,74,0.4,100,0.416,0.679385
289,appendicitis.dat,106,74,0.4,500,2.017,0.741487
290,appendicitis.dat,106,74,0.4,1000,4.027,0.783564
291,appendicitis.dat,106,74,0.5,1,0,0.218116
292,appendicitis.dat,106,74,0.5,10,0.047,0.294696
293,appendicitis.dat,106,74,0.5,100,0.416,0.704109
294,appendicitis.dat,106,74,0.5,500,1.998,0.765856
295,appendicitis.dat,106,74,0.5,1000,3.963,0.787627
296,appendicitis.dat,106,74,0.6000000000000001,1,0,0.218116
297,appendicitis.dat,106,74,0.6000000000000001,10,0.031,0.294941
298,appendicitis.dat,106,74,0.6000000000000001,100,0.424,0.479225
299,appendicitis.dat,106,74,0.6000000000000001,500,1.987,0.576368
300,appendicitis.dat,106,74,0.6000000000000001,1000,3.989,0.70675
301,appendicitis.dat,106,74,0.7000000000000001,1,0,0.218116
302,appendicitis.dat,106,74,0.7000000000000001,10,0.038,0.305662
303,appendicitis.dat,106,74,0.7000000000000001,100,0.4,0.702734
304,appendicitis.dat,106,74,0.7000000000000001,500,2.002,0.755162
305,appendicitis.dat,106,74,0.7000000000000001,1000,4.026,0.836954
306,appendicitis.dat,106,74,0.8,1,0,0.218116
307,appendicitis.dat,106,74,0.8,10,0.031,0.292787
308,appendicitis.dat,106,74,0.8,100,0.453,0.730412
309,appendicitis.dat,106,74,0.8,500,2.151,0.786408
310,appendicitis.dat,106,74,0.8,1000,4.137,0.829222
311,appendicitis.dat,106,74,0.9,1,0.004,0.218116
312,appendicitis.dat,106,74,0.9,10,0.048,0.276402
313,appendicitis.dat,106,74,0.9,100,0.416,0.635037
314,appendicitis.dat,106,74,0.9,500,2.019,0.665717
315,appendicitis.dat,106,74,0.9,1000,4.037,0.709968
316,appendicitis.dat,106,84,0.1,1,0,0.218116
317,appendicitis.dat,106,84,0.1,10,0.035,0.260803
318,appendicitis.dat,106,84,0.1,100,0.485,0.299818
319,appendicitis.dat,106,84,0.1,500,2.317,0.699233
320,appendicitis.dat,106,84,0.1,1000,4.554,0.805134
321,appendicitis.dat,106,84,0.2,1,0.015,0.218116
322,appendicitis.dat,106,84,0.2,10,0.05,0.260803
323,appendicitis.dat,106,84,0.2,100,0.463,0.452711
324,appendicitis.dat,106,84,0.2,500,2.293,0.802078
325,appendicitis.dat,106,84,0.2,1000,4.507,0.824887
326,appendicitis.dat,106,84,0.30000000000000004,1,0,0.218116
327,appendicitis.dat,106,84,0.30000000000000004,10,0.047,0.262241
328,appendicitis.dat,106,84,0.30000000000000004,100,0.469,0.577578
329,appendicitis.dat,106,84,0.30000000000000004,500,2.287,0.806448
330,appendicitis.dat,106,84,0.30000000000000004,1000,4.493,0.840968
331,appendicitis.dat,106,84,0.4,1,0.015,0.218116
332,appendicitis.dat,106,84,0.4,10,0.053,0.281019
333,appendicitis.dat,106,84,0.4,100,0.465,0.5843
334,appendicitis.dat,106,84,0.4,500,2.26,0.732159
335,appendicitis.dat,106,84,0.4,1000,4.557,0.757405
336,appendicitis.dat,106,84,0.5,1,0,0.218116
337,appendicitis.dat,106,84,0.5,10,0.053,0.261879
338,appendicitis.dat,106,84,0.5,100,0.478,0.673789
339,appendicitis.dat,106,84,0.5,500,2.25,0.818689
340,appendicitis.dat,106,84,0.5,1000,4.475,0.846286
341,appendicitis.dat,106,84,0.6000000000000001,1,0.015,0.218116
342,appendicitis.dat,106,84,0.6000000000000001,10,0.048,0.25344
343,appendicitis.dat,106,84,0.6000000000000001,100,0.454,0.69984
344,appendicitis.dat,106,84,0.6000000000000001,500,2.25,0.772132
345,appendicitis.dat,106,84,0.6000000000000001,1000,4.639,0.807077
346,appendicitis.dat,106,84,0.7000000000000001,1,0,0.218116
347,appendicitis.dat,106,84,0.7000000000000001,10,0.049,0.256595
348,appendicitis.dat,106,84,0.7000000000000001,100,0.489,0.6924
349,appendicitis.dat,106,84,0.7000000000000001,500,2.271,0.735429
350,appendicitis.dat,106,84,0.7000000000000001,1000,4.47,0.750998
351,appendicitis.dat,106,84,0.8,1,0,0.218116
352,appendicitis.dat,106,84,0.8,10,0.053,0.287296
353,appendicitis.dat,106,84,0.8,100,0.45,0.70924
354,appendicitis.dat,106,84,0.8,500,2.28,0.76192
355,appendicitis.dat,106,84,0.8,1000,4.459,0.786386
356,appendicitis.dat,106,84,0.9,1,0,0.218116
357,appendicitis.dat,106,84,0.9,10,0.036,0.264383
358,appendicitis.dat,106,84,0.9,100,0.452,0.603521
359,appendicitis.dat,106,84,0.9,500,2.282,0.64931
360,appendicitis.dat,106,84,0.9,1000,4.459,0.64931
361,appendicitis.dat,106,95,0.1,1,0,0.218116
362,appendicitis.dat,106,95,0.1,10,0.117,0.279521
363,appendicitis.dat,106,95,0.1,100,0.628,0.300065
364,appendicitis.dat,106,95,0.1,500,2.687,0.538775
365,appendicitis.dat,106,95,0.1,1000,8.094,0.698871
366,appendicitis.dat,106,95,0.2,1,0,0.218116
367,appendicitis.dat,106,95,0.2,10,0.117,0.279521
368,appendicitis.dat,106,95,0.2,100,0.639,0.318072
369,appendicitis.dat,106,95,0.2,500,2.687,0.699401
370,appendicitis.dat,106,95,0.2,1000,5.141,0.737227
371,appendicitis.dat,106,95,0.30000000000000004,1,0.015,0.218116
372,appendicitis.dat,106,95,0.30000000000000004,10,0.121,0.279521
373,appendicitis.dat,106,95,0.30000000000000004,100,0.632,0.383305
374,appendicitis.dat,106,95,0.30000000000000004,500,2.668,0.722941
375,appendicitis.dat,106,95,0.30000000000000004,1000,5.151,0.76115
376,appendicitis.dat,106,95,0.4,1,0,0.218116
377,appendicitis.dat,106,95,0.4,10,0.117,0.264739
378,appendicitis.dat,106,95,0.4,100,0.615,0.387358
379,appendicitis.dat,106,95,0.4,500,2.657,0.701909
380,appendicitis.dat,106,95,0.4,1000,5.401,0.723305
381,appendicitis.dat,106,95,0.5,1,0.005,0.218116
382,appendicitis.dat,106,95,0.5,10,0.117,0.264402
383,appendicitis.dat,106,95,0.5,100,0.631,0.482234
384,appendicitis.dat,106,95,0.5,500,2.657,0.711722
385,appendicitis.dat,106,95,0.5,1000,5.24,0.725089
386,appendicitis.dat,106,95,0.6000000000000001,1,0,0.218116
387,appendicitis.dat,106,95,0.6000000000000001,10,0.12,0.277473
388,appendicitis.dat,106,95,0.6000000000000001,100,0.631,0.512833
389,appendicitis.dat,106,95,0.6000000000000001,500,3.594,0.731006
390,appendicitis.dat,106,95,0.6000000000000001,1000,9.265,0.739334
391,appendicitis.dat,106,95,0.7000000000000001,1,0.015,0.218116
392,appendicitis.dat,106,95,0.7000000000000001,10,0.115,0.285956
393,appendicitis.dat,106,95,0.7000000000000001,100,0.638,0.392346
394,appendicitis.dat,106,95,0.7000000000000001,500,2.664,0.492875
395,appendicitis.dat,106,95,0.7000000000000001,1000,5.192,0.515897
396,appendicitis.dat,106,95,0.8,1,0,0.218116
397,appendicitis.dat,106,95,0.8,10,0.105,0.259152
398,appendicitis.dat,106,95,0.8,100,0.948,0.604094
399,appendicitis.dat,106,95,0.8,500,5.558,0.667567
400,appendicitis.dat,106,95,0.8,1000,11.315,0.707404
401,appendicitis.dat,106,95,0.9,1,0,0.218116
402,appendicitis.dat,106,95,0.9,10,0.1,0.260534
403,appendicitis.dat,106,95,0.9,100,0.736,0.433573
404,appendicitis.dat,106,95,0.9,500,5.592,0.505183
405,appendicitis.dat,106,95,0.9,1000,11.15,0.510089
406,appendicitis.dat,106,106,0.1,1,0,0.218116
407,appendicitis.dat,106,106,0.1,10,0.047,0.279521
408,appendicitis.dat,106,106,0.1,100,0.588,0.309401
409,appendicitis.dat,106,106,0.1,500,2.867,0.359041
410,appendicitis.dat,106,106,0.1,1000,5.709,0.359041
411,appendicitis.dat,106,106,0.2,1,0.015,0.218116
412,appendicitis.dat,106,106,0.2,10,0.052,0.279521
413,appendicitis.dat,106,106,0.2,100,0.585,0.318072
414,appendicitis.dat,106,106,0.2,500,2.849,0.358495
415,appendicitis.dat,106,106,0.2,1000,5.672,0.358495
416,appendicitis.dat,106,106,0.30000000000000004,1,0,0.218116
417,appendicitis.dat,106,106,0.30000000000000004,10,0.063,0.279521
418,appendicitis.dat,106,106,0.30000000000000004,100,0.568,0.30259
419,appendicitis.dat,106,106,0.30000000000000004,500,2.873,0.30259
420,appendicitis.dat,106,106,0.30000000000000004,1000,5.691,0.30259
421,appendicitis.dat,106,106,0.4,1,0,0.218116
422,appendicitis.dat,106,106,0.4,10,0.063,0.262241
423,appendicitis.dat,106,106,0.4,100,0.571,0.312469
424,appendicitis.dat,106,106,0.4,500,2.872,0.327309
